Speaker,Gender,L1,EIT,Comprehensibility,Accentedness,SA_Comprehensibility,SA_Accentedness,Satisfaction,Value,Kor_Use,LivingSK,SKKorSchool,OtherKorSchool,TotalKorSchool,Age,AO
S001,M,German,45,2.69,1.72,6,2,4,7,60,2,2,18,20,28,20
S002,F,Chinese,107,8.09,6.17,7,5,5,9,30,12,12,0,12,32,30
S003,M,Chinese,69,7.15,5.35,5,5,4,8,60,6,6,12,18,23,22
S004,F,Chinese,74,7.12,5.65,6,5,6,9,32,11,11,0,11,23,21
S005,F,Chinese,79,4.43,3.36,5,4,3,7,30,12,12,0,12,19,18
S006,F,Cantonese,89,7.53,6.66,7,7,7,9,85,21,21,30,51,24,19
S007,F,Russian,75,7.87,7.15,6,5,4,8,25,43,0,48,48,24,18
S008,M,Spanish,45,5.52,3.4,6,3,4,8,60,25,20,0,20,27,24
S009,F,Sinhala,109,7.85,6.67,8,7,7,9,30,12,0,36,36,28,22
S010,F,Spanish,46,5.86,4.32,6,5,7,9,40,12,6,0,6,24,18
S011,F,Russian,62,3.99,3.49,5,5,9,1,20,60,12,0,12,24,19
S012,F,Spanish,13,3.67,2.52,6,4,5,9,30,24,0,24,24,21,17
S013,F,Spanish,18,4.38,2.63,7,3,2,9,70,6,6,0,6,23,23
S014,M,Russian,38,4.61,3.9,5,5,6,8,20,60,18,6,24,26,21
S015,M,Spanish,30,2.95,2.25,3,3,1,3,20,12,0,6,6,21,19
S016,F,Chinese,101,6.18,4.97,6,5,5,9,70,1,0.5,48,48.5,23,19
S017,F,Cantonese,106,8.74,7.35,7,7,7,9,50,24,18,24,42,29,18
S018,F,Vietnamese,73,6.27,3.72,6,4,3,9,65,1,1,48,49,24,19
S019,M,Malay,27,2.68,2.87,5,3,4,9,50,6,6,0,6,31,31
S020,F,Malay,29,1.28,1.96,3,2,2,9,30,6,6,0,6,35,35
S021,F,Indonesian,104,7.56,6.2,8,7,8,7,45,17,16,36,52,25,18
S022,F,Russian,82,6.67,5.13,6,5,4,9,60,24,18,6,24,23,21
S023,F,Chinese,76,7.35,5.25,7,5,8,1,50,42,6,0,6,21,17
S024,F,Chinese,82,8.18,7.12,7,6,6,9,60,18,12,1,13,24,19
S025,F,Indonesian,80,7.9,6.14,6,8,6,9,40,0.5,0,12,12,21,18
S026,F,Russian,82,6.83,5.19,7,6,6,9,30,36,6,0,6,21,18
S027,F,Russian,70,7.65,5.6,6,4,4,9,36,28,12,0,12,25,23
S028,F,Chinese,46,5.57,4.15,6,7,9,8,40,3,3,3,6,28,26
S029,F,Chinese,51,3.54,3.01,5,3,7,9,30,3,3,12,15,28,27
S030,F,Vietnamese,67,6.85,4.7,7,4,6,9,28,0.75,0.5,0,0.5,22,19
S031,F,Chinese,69,4.77,3.43,6,5,4,9,60,15,15,12,27,22,21
S032,M,Vietnamese,54,2.88,1.86,6,2,3,8,40,10,10,0,10,21,22
S033,F,English,88,6.85,5.67,6,3,3,8,60,36,24,12,36,27,19
S034,M,Japanese,115,8.14,6.82,7,7,7,9,65,22,22,6,28,25,18
S035,F,Japanese,59,5.5,3.81,1,1,1,9,40,6,6,0,6,29,20
S036,F,French,91,8.43,6.01,8,8,7,9,35,73,12,18,30,26,18
S037,F,French,70,7.34,5.91,6,3,4,7,65,40,12,12,24,24,17
S038,F,Chinese,43,4.27,2.83,6,4,7,9,40,3.5,3.5,0,3.5,26,26
S039,F,Chinese,48,3.87,2.79,3,4,3,9,25,3,3,6,9,19,18
S040,F,Chinese,69,4.5,4.25,5,4,5,9,49,8,0,6,6,23,20
S041,F,Tagalog,74,4.3,3.17,6,5,6,9,50,1,0.5,12,12.5,19,17
S042,M,Turkish,67,2.85,2.05,7,6,6,8,60,24,24,0,24,27,25
S043,F,Indonesian,97,5.46,4.13,6,3,4,9,60,0,0,38,38,20,12
S044,F,Japanese,81,4.24,3.1,5,5,1,9,40,4,4,0,4,21,21
S045,F,Persian,45,1.19,1.75,4,5,9,9,80,3,3,0,3,30,28
S046,F,Thai,22,6.56,5.6,7,7,8,7,60,4,4,60,64,26,20
S047,F,Chinese,83,7.24,6.03,6,6,3,9,30,10,10,24,34,21,10.5
S048,F,Chinese,70,5.53,3.23,6,4,3,9,19,18,18,6,24,21,18
S049,F,Tagalog,19,5.22,3.56,6,6,5,9,20,0.75,0,12,12,20,18
S050,F,Italian,97,7.8,5.97,8,6,6,9,40,48,48,12,60,27,17
S051,F,Cantonese,37,4.93,3.79,7,6,7,9,60,6,6,24,30,24,21
S052,F,Chinese,58,5.52,4.52,6,4,4,9,10,0.75,0.5,0,0.5,28,27
S053,F,Chinese,65,4.48,4.6,7,7,6,9,35,0.5,0.5,15,15.5,22,20
S054,F,Russian,75,6.01,4.29,8,7,7,9,50,24,24,12,36,23,18
S055,F,Chinese,62,6.07,3.81,6,5,6,8,20,0.5,0.5,24,24.5,22,20
S056,F,Japanese,76,6.38,5.47,6,4,3,8,90,6,6,0,6,45,36
S057,F,Japanese,73,7.08,5.17,5,3,3,8,50,0.75,0.75,17,17.75,21,14
S058,M,Bangla,59,5.15,3.64,2,2,4,9,30,31,12,0,12,26,25
S059,F,Vietnamese,39,4.6,4.03,8,4,5,8,70,4,4,0,4,23,23
S060,M,Chinese,61,6.65,5.15,6,3,4,8,50,24,18,0,18,30,28
S061,F,English,96,7.55,6.52,8,8,9,7,42,13,1,0,1,25,14
S062,F,Chinese,98,7.08,5.78,7,8,8,9,50,14,14,48,62,24,20
S063,F,French,78,8.56,7.88,9,9,7,8,10,30,20,12,32,22,14
S064,F,Japanese,105,8.06,7.8,8,7,5,9,80,19,19,0,19,19,16
S065,F,Thai,70,3,2.06,6,7,6,7,5,25,12,8,20,25,22
S066,F,Bangla,50,4.39,3.26,5,7,7,9,70,6,6,0,6,19,19
S067,F,Russian,62,6.95,5.18,8,5,5,9,50,12,12,48,60,23,18
S068,F,Russian,49,3.73,2.64,5,2,2,5,20,15,9,0,9,23,22
S069,F,Japanese,68,5.27,3.6,5,4,3,7,30,0.75,0.75,16,16.75,20,19
S070,F,Chinese,85,6.99,6.02,6,6,4,9,50,1,0,48,48,23,19
S071,F,Chinese,64,5.74,3.81,6,3,7,8,50,13,13,6,19,23,22
S072,F,Chinese,104,6.55,6.15,7,6,4,9,30,30,22,144,166,22,10
S073,F,Chinese,85,7.18,6.06,6,4,4,9,30,1,1,24,25,23,20
S074,F,Japanese,50,6.16,4.63,5,5,3,9,50,7,7,0,7,21,18
S075,F,Chinese,96,7.38,5.54,7,6,3,9,25,12,9,36,45,21,18
S076,F,Chinese,76,5.64,4.67,5,3,2,9,37,15,6,12,18,23,18
S077,F,Chinese,82,6.8,5.38,8,9,7,9,50,22,22,0,22,21,19
S078,F,Chinese,25,3.23,3.35,4,3,6,5,80,3,4,0,4,22,22
S079,F,Chinese,104,8.25,6.84,7,6,5,9,40,24,25,60,85,27,20
S080,F,Spanish,48,7.24,5.32,6,6,6,8,35,33,12,12,24,27,23
S081,F,Chinese,60,7.1,5.18,6,7,5,8,30,18,3,0,3,22,21
S082,M,Chinese,91,8.04,6.4,5,4,4,6,60,6,12,36,48,23,20
S083,F,Spanish,21,2.1,2.77,7,8,8,9,60,1,1,12,13,21,18
S084,F,Chinese,76,6.37,4.94,7,5,5,9,40,1,1,36,37,21,18
S085,F,Chinese,99,6.44,6.59,8,8,8,9,90,15,12,6,18,28,22
S086,F,Chinese,67,6.41,4.83,6,7,7,8,38,16,16,12,28,26,20
S087,F,Japanese,101,6.97,7.14,8,7,7,9,40,14,12,36,48,26,20
S088,F,Japanese,67,5.63,4.43,6,7,6,8,80,1,1,12,13,48,39
S089,F,Vietnamese,17,3.41,2.81,3,3,3,7,30,1,1,24,25,19,17
S090,F,Chinese,99,7.48,6.07,8,5,5,9,50,18,18,12,30,23,21
S091,F,Chinese,106,8.77,8.41,9,8,7,9,80,12,12,24,36,23,20
S092,F,Portuguese,48,6.22,3.49,8,6,9,9,5,18,12,0,12,21,17
S093,F,Russian,60,6.61,6.35,7,4,4,8,30,24,0,84,84,27,11
S094,F,Thai,43,3.45,2.46,7,8,6,9,60,21,8,1,9,23,23
S095,F,Chinese,35,5.35,4.07,5,4,3,9,30,7,6,6,12,20,17
S096,F,Chinese,80,7.47,6.74,7,7,6,9,50,12,12,24,36,23,20
S097,F,Chinese/Taiwanese,82,7.44,6.89,8,6,7,9,60,38,38,36,74,24,18
S098,F,Mongol,72,5.68,5.29,6,4,6,9,30,13,13,0,13,19,18
S099,M,Vietnamese,28,4.53,2.6,5,5,5,8,25,10,0,3,3,20,20
S100,F,Mongol,109,7.25,5.58,8,7,8,9,50,92,36,48,84,38,20
S101,F,Mongol,116,8.17,6.93,8,9,8,9,40,80,80,216,296,35,17
S102,F,Chinese,93,7.28,6.3,6,7,6,9,30,1,1,36,37,21,18
S103,F,Chinese,74,7.24,5.55,6,6,6,9,70,5,3,36,39,21,15
S104,F,Chinese,33,3.87,2.97,5,5,5,7,30,11,11,12,23,28,25
S105,F,Chinese,72,8.75,8.42,7,7,6,9,20,5,9,24,33,22,20
S106,F,Chinese,97,7.45,6.02,8,5,4,9,70,12,0,24,24,23,21
S107,F,Turkish,115,8.58,7.48,8,8,7,9,28,24,24,12,36,22,18
S108,F,Kyrgyz,94,6.43,4.32,9,7,7,9,40,7,0,12,12,19,18
S109,M,Chinese,115,8.38,7.61,9,9,9,8,77,72,48,60,108,20,10
S110,F,Vietnamese,71,6.87,6.78,8,7,6,9,5,2,2,48,50,22,19
S111,F,Chinese,91,7.8,6.41,7,6,5,8,30,12,6,12,18,25,21
S112,F,Chinese,64,6.13,5.54,7,5,6,9,35,14,9,36,45,28,20
S113,F,Russian,62,5.05,3.37,5,5,4,9,30,8,8,24,32,19,14
S114,F,Kazakh,91,5.8,5.46,8,7,7,9,40,12,12,24,36,19,16
S115,F,Chinese,99,7.55,6.63,8,7,5,7,30,42,6,60,66,26,7
S116,M,Chinese,79,7.82,6.43,6,6,5,8,80,24,24,36,60,23,18
S117,M,Chinese,71,4.85,4.74,6,5,5,9,70,1.5,1.5,18,19.5,27,25
S118,F,Chinese,99,8.09,7.44,7,7,7,9,50,12,12,9.5,21.5,23,20
S119,F,Chinese,58,5.43,4.05,5,5,3,9,30,2,2,24,26,24,23
S120,F,English,38,6.31,4.06,4,3,7,9,30,4,4,12,16,32,30
S121,F,Chinese,87,6.93,4.44,7,7,7,8,80,130,130,0,130,30,19
S122,F,Chinese,63,6.99,5.4,7,8,5,9,35,13.5,13.5,0,13.5,28,27
S123,M,Russian,75,4.44,2.94,4,2,3,8,15,26,6,6,12,28,22
S124,F,Chinese,49,5.52,4.01,4,3,3,7,30,14,12,0,12,23,22
S125,F,Azerbaijan,108,6.81,6.03,6,7,7,9,40,1,0,48,48,21,17
S126,F,Chinese,53,5.24,4.32,6,3,5,6,40,7,7,18,25,22,20
S127,F,Chinese,63,3.85,5.26,7,7,7,9,30,1,1,24,25,22,17
S128,M,Spanish,60,6.79,5.74,5,5,6,9,90,38,36,6,42,27,24
S129,F,Chinese,36,5.27,4.13,6,4,6,8,35,4,0,0,0,31,20
S130,F,Kyrgyz,113,7.65,7.16,9,7,6,9,25,56,12,24,36,25,19
S131,F,Chinese,72,5.49,3.92,6,4,3,8,30,30,12,0,12,23,21
S132,F,Chinese,82,6.43,5.1,6,4,5,9,60,36,12,0,12,28,25
S133,F,Cantonese,96,7.65,7.01,8,7,8,9,25,8,8,24,32,23,18
S134,F,Chinese,78,5.88,3.97,7,5,6,7,30,18,6,6,12,21,14
S135,F,Chinese,98,8.37,6.94,7,6,6,9,30,26,26,18,44,23,18
S136,F,Chinese,83,7.68,6.34,7,6,6,9,35,19,17,12,29,27,17
S137,F,Japanese,102,8.31,8.13,8,8,8,9,70,37,37,48,85,24,17
S138,F,Chinese,47,6.4,4.22,5,5,5,9,20,12,5,2,7,19,18
S139,F,Chinese,57,6.35,5.07,8,4,4,8,50,12,12,12,24,23,19
S140,F,Chinese,101,6.12,4.59,5,1,5,2,40,36,12,0,12,27,25
S141,F,Chinese,87,6.93,4.9,6,5,5,9,30,14,0,24,24,23,19
S142,F,English,61,6.5,4.39,6,4,7,7,45,12,12,0,12,21,18
S143,F,German,64,5.47,2.65,4,2,3,8,35,2.5,2,0,2,19,16
S144,F,Chinese,90,6.44,5.02,7,4,2,9,35,30,30,48,78,25,20
S145,F,English,38,6.43,4.57,5,5,6,8,40,51,12,0,12,22,18
S146,F,English,68,7.91,6.96,7,5,6,8,40,12,4,24,28,22,0
S147,F,Russian,60,5.36,4.42,6,6,5,8,40,2.5,2.5,6,8.5,20,16
S148,F,English,64,5.62,4.67,5,4,3,8,30,2,2,2,4,21,19
S149,F,English,87,7.4,7.51,7,7,6,9,20,42,2,2,4,23,2.5
S150,M,Chinese,56,5.7,4.6,4,3,3,6,10,31,24,0,24,22,20
S151,F,Russian,78,6.91,4.81,8,8,8,9,20,26,26,24,50,28,11
S152,F,Chinese,50,2.32,2.82,4,2,9,9,20,2,2,0,2,21,20
S153,F,Chinese,21,3.63,3.24,4,6,7,7,20,2,1,0,1,20,20
S154,F,English,22,2.68,1.82,4,2,4,7,25,18,2,0,2,28,22
S155,F,French,98,7.75,7.53,6,6,3,8,30,2,2,2,4,20,17
S156,F,French,47,6.18,4.56,5,5,1,9,20,2,2,24,26,22,18
S157,F,Chinese,95,5.95,5.41,2,7,7,8,50,24,0,48,48,24,19
S158,F,Chinese,59,5.94,4.41,4,3,3,9,60,18,24,24,48,22,20
S159,M,Cantonese,79,5.04,3.27,7,6,6,9,25,48,48,6,54,24,18
S160,F,Chinese,79,6.63,5.06,7,5,3,9,80,20,20,60,80,24,15
S161,F,Chinese,102,7.46,6,5,5,4,9,65,24,0,24,24,25,21
S162,F,Russian,68,7.24,4.83,8,6,6,9,35,20,20,36,56,22,17
S163,M,Cantonese,85,6.05,6.58,7,6,6,7,30,36,36,0,36,28,19
S164,F,Spanish,63,6.31,4.91,7,7,7,9,30,24,16,3,19,24,17
S165,F,Spanish,76,6.48,5.09,8,6,6,8,5,60,24,0,24,24,18
S166,F,Chinese,90,5.49,4.07,5,3,3,9,30,24,6,0,6,24,22
S167,F,Russian,60,6.52,4.79,7,5,6,9,15,2,2,48,50,19,15
S168,F,Chinese,57,4.34,3.97,8,6,6,9,50,15,15,0,15,23,21
S169,F,English,60,6.95,5.23,9,8,8,9,20,14,7.5,42,49.5,25,18
S170,F,Chinese,74,6.54,5.87,6,5,4,9,35,12,12,24,36,23,18
S171,F,Russian,25,4.62,3.15,2,2,2,6,40,2,2,24,26,20,17
S172,F,Russian,107,7.38,5.52,8,7,7,9,28,22,20,60,80,24,18
S173,F,Chinese,106,8.47,7.47,8,7,6,8,80,107,60,0,60,33,22
S174,F,Chinese,98,7.32,7.25,8,6,7,9,45,2,2,24,26,21,20
S175,F,English,9,5.05,3.12,4,2,1,9,25,2,0,24,24,24,18
S176,F,Cantonese,60,2.99,2.81,6,4,6,8,15,24,24,6,30,22,17
S177,F,Russian,18,3.29,3.14,5,4,6,7,25,3,3,12,15,23,22
S178,F,Chinese,92,6.63,6.52,7,6,6,7,40,36,36,0,36,28,18
S179,F,English,57,5.61,3.43,4,4,4,8,15,21,19,0,19,19,15
S180,F,Chinese,101,7.95,7.37,6,6,4,9,20,2,0,48,48,22,19
S181,F,Cantonese,88,4.17,2.35,5,3,3,8,40,3,3,24,27,21,19
S182,F,Japanese,79,7.05,6.32,7,7,5,9,40,11,11,36,47,21,17
S183,M,Chinese,82,6.9,6.23,6,5,2,9,70,8,0,30,30,25,20
S184,F,Chinese,90,5.54,4.85,8,7,8,9,30,2,2,6,8,23,13
S185,F,Chinese,36,4.49,2.98,5,4,6,9,25,3,3,12,15,22,20
S186,F,English,40,5.91,4.62,6,6,6,6,20,29,0,11,11,27,20
S187,F,Chinese,70,4.82,3.65,7,5,6,9,40,6,3,2.5,5.5,23,21
S188,M,English,13,2.01,1.84,4,6,5,9,2,2,2,2,4,23,22
S189,F,Chinese,80,7.33,4.9,5,4,3,9,20,12,12,0,12,22,20
S190,F,Chinese,67,6.52,5.75,7,7,8,9,35,3,3,18,21,25,20
S191,M,Chinese,54,5.87,4.02,5,5,5,8,30,12,12,0,12,21,22
S192,F,Spanish,32,6.24,3.99,8,5,4,9,62,17,6,32,38,24,16
S193,F,English,50,6.47,4.12,8,9,8,9,25,17,1.5,0,1.5,23,12
S194,F,English,28,3.8,3.17,3,3,1,7,40,6,0,5,5,25,21
S195,F,English,20,4.82,3.16,3,2,4,9,20,6,1,0,1,23,23
S196,F,English,32,6,4.39,6,3,7,8,45,7,7,12,19,22,12
S197,F,English,38,4.6,2.58,7,7,6,8,40,86,1,1,2,47,0
S198,F,Japanese,85,6.71,5.22,6,3,1,9,60,10,10,0,10,38,30
